2026-07-28T15:57:37.819895Z [info     ] Page 53: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:37.983146Z [info     ] Page 54: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:38.152912Z [info     ] Page 55: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:38.319155Z [info     ] Page 56: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:38.482103Z [info     ] Page 57: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:38.776582Z [info     ] Page 58: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:38.940554Z [info     ] Page 59: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:39.152770Z [info     ] Page 60: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:39.326685Z [info     ] Page 61: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:39.512942Z [info     ] Page 62: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:39.687745Z [info     ] Page 63: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:39.883086Z [info     ] Page 64: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:40.045701Z [info     ] Page 65: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:40.214548Z [info     ] Page 66: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:40.504805Z [info     ] Page 67: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:40.670674Z [info     ] Page 68: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:40.826530Z [info     ] Page 69: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:40.991609Z [info     ] Page 70: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:41.228592Z [info     ] Page 71: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:41.393753Z [info     ] Page 72: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:57:41.650726Z [info     ] Page 73: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
