2026-07-28T15:54:33.583838Z [info     ] Iniciando ingesta Bronze       layer=bronze module_name=lakehouse.pipeline.ingestion run_id=run_20260728_155433
2026-07-28T15:54:34.011017Z [info     ] Total pages detected: 104      layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:34.011390Z [info     ] Page 1: 9 articles             layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:34.191980Z [info     ] Page 2: 9 articles             layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:34.356081Z [info     ] Page 3: 9 articles             layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:34.522846Z [info     ] Page 4: 9 articles             layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:34.692549Z [info     ] Page 5: 9 articles             layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:34.879441Z [info     ] Page 6: 9 articles             layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:35.041240Z [info     ] Page 7: 9 articles             layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:35.208675Z [info     ] Page 8: 9 articles             layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:35.379183Z [info     ] Page 9: 9 articles             layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:35.546819Z [info     ] Page 10: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:35.711255Z [info     ] Page 11: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:35.884568Z [info     ] Page 12: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:36.063182Z [info     ] Page 13: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:36.242308Z [info     ] Page 14: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:36.419623Z [info     ] Page 15: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:36.586414Z [info     ] Page 16: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:36.753414Z [info     ] Page 17: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:36.918990Z [info     ] Page 18: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:37.090224Z [info     ] Page 19: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:37.257626Z [info     ] Page 20: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:37.436601Z [info     ] Page 21: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:37.599857Z [info     ] Page 22: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:37.775438Z [info     ] Page 23: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:37.956344Z [info     ] Page 24: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:38.122124Z [info     ] Page 25: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:38.282205Z [info     ] Page 26: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:38.450428Z [info     ] Page 27: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:38.615911Z [info     ] Page 28: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:38.783544Z [info     ] Page 29: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:38.946821Z [info     ] Page 30: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:39.115851Z [info     ] Page 31: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:39.280994Z [info     ] Page 32: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:40.537702Z [info     ] Page 33: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:40.702025Z [info     ] Page 34: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:40.867509Z [info     ] Page 35: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:41.033323Z [info     ] Page 36: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:41.201014Z [info     ] Page 37: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:41.396778Z [info     ] Page 38: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:41.567621Z [info     ] Page 39: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:41.733620Z [info     ] Page 40: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:41.906524Z [info     ] Page 41: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:42.068942Z [info     ] Page 42: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:42.231021Z [info     ] Page 43: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:42.390901Z [info     ] Page 44: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:42.564532Z [info     ] Page 45: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:42.733555Z [info     ] Page 46: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:42.901348Z [info     ] Page 47: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:43.193751Z [info     ] Page 48: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:43.366461Z [info     ] Page 49: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:43.531672Z [info     ] Page 50: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:43.704220Z [info     ] Page 51: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:43.884078Z [info     ] Page 52: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:44.071406Z [info     ] Page 53: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:44.234881Z [info     ] Page 54: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:44.406980Z [info     ] Page 55: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:44.583138Z [info     ] Page 56: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:44.903113Z [info     ] Page 57: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:45.065098Z [info     ] Page 58: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:45.240776Z [info     ] Page 59: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:45.405435Z [info     ] Page 60: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:45.674501Z [info     ] Page 61: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:45.848462Z [info     ] Page 62: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:46.018758Z [info     ] Page 63: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:46.182464Z [info     ] Page 64: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:46.365687Z [info     ] Page 65: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
2026-07-28T15:54:46.535897Z [info     ] Page 66: 9 articles            layer=bronze module_name=lakehouse.pipeline.scraper
